Date,Price,Open,High,Low,Vol.,Change %
2024-04-07,28151.66,"28,506.16","28,894.44","28,151.66",185.41M,-1.24%
2024-04-08,28503.75,"28,151.66","28,555.11","28,130.53",119.88M,1.25%
2024-04-15,29616.47,"28,503.75","29,664.30","28,503.75",248.38M,3.90%
2024-04-16,29400.84,"29,616.47","29,797.23","29,387.73",344.62M,-0.73%
2024-04-17,29667.71,"29,400.84","29,867.36","29,400.57",295.53M,0.91%
2024-04-18,28332.65,"29,667.71","30,072.10","27,796.10",385.15M,-4.50%
2024-04-21,28623.39,"28,332.65","28,941.42","28,332.65",260.24M,1.03%
2024-04-22,28144.22,"28,623.39","28,849.68","28,144.22",227.62M,-1.67%
2024-04-23,26777.05,"28,144.22","28,167.48","26,755.19",305.68M,-4.86%
2024-04-24,25917.59,"26,777.05","26,785.06","25,502.32",338.66M,-3.21%
2024-04-28,24639.63,"25,917.59","26,005.67","24,639.63",208.46M,-4.93%
2024-04-29,26011.28,"24,639.63","26,011.28","24,637.16",220.16M,5.57%
2024-04-30,24448.73,"26,011.28","26,097.30","24,409.83",264.22M,-6.01%
2024-05-01,25270.55,"24,448.73","25,296.02","24,193.87",182.43M,3.36%
2024-05-02,26113.71,"25,270.55","26,168.25","25,188.67",189.62M,3.34%
2024-05-07,26429.69,"26,113.71","26,429.69","25,638.50",240.20M,1.21%
2024-05-08,25988.93,"26,429.69","26,939.91","25,889.58",385.04M,-1.67%
2024-05-09,26003.16,"25,988.93","26,273.69","25,844.98",257.58M,0.05%
2024-05-12,25155.92,"26,003.16","26,265.08","24,972.47",258.17M,-3.26%
2024-05-13,25381.25,"25,155.92","25,388.04","24,771.85",226.23M,0.90%
2024-05-14,25339.77,"25,381.25","25,654.34","25,216.27",181.40M,-0.16%
2024-05-15,25316.08,"25,339.77","25,480.97","25,169.92",248.41M,-0.09%
2024-05-16,26142.84,"25,316.08","26,165.90","25,316.08",258.88M,3.27%
2024-05-19,27315.83,"26,142.84","27,333.91","26,142.84",251.25M,4.49%
2024-05-20,27228.85,"27,315.83","27,636.62","27,170.62",214.79M,-0.32%
2024-05-21,27224.8,"27,228.85","27,615.87","27,224.80",268.04M,-0.01%
2024-05-22,27227.44,"27,224.80","27,442.67","26,963.82",213.13M,0.01%
2024-05-23,27205.14,"27,227.44","27,415.59","27,196.78",236.42M,-0.08%
2024-05-26,27539.21,"27,205.14","27,584.50","27,205.14",274.59M,1.23%
2024-05-27,27287.31,"27,539.21","27,689.14","27,276.94",268.80M,-0.91%
2024-05-28,27194.51,"27,287.31","27,296.89","26,822.88",277.39M,-0.34%
2024-05-29,27089.68,"27,194.51","27,391.88","26,976.21",241.35M,-0.39%
2024-05-30,26922.76,"27,089.68","27,116.25","26,683.97",352.59M,-0.62%
2024-06-02,26869.85,"26,922.76","27,140.20","26,753.70",225.28M,-0.20%
2024-06-03,26834.47,"26,869.85","27,003.04","26,760.84",267.86M,-0.13%
2024-06-04,26973.0,"26,852.33","27,158.65","26,852.33",352.59M,0.52%
2024-06-05,26634.3,"26,915.46","26,915.46","26,245.33",240.86M,-1.26%
