Date,Price,Open,High,Low,Vol.,Change %
2010-01-11,6459.38,"6,454.38","6,463.05","6,436.54",100.63M,-0.26%
2010-01-12,6534.8,"6,460.85","6,543.80","6,460.85",73.83M,1.17%
2010-01-13,6581.59,"6,569.36","6,613.62","6,551.04",85.91M,0.72%
2010-01-14,6680.8,"6,610.60","6,680.80","6,610.60",77.93M,1.51%
2010-01-17,6697.37,"6,704.47","6,751.06","6,697.37",74.24M,0.25%
2010-01-18,6725.28,"6,671.62","6,725.28","6,656.92",79.51M,0.42%
2010-01-19,6833.26,"6,784.63","6,858.82","6,784.03",119.17M,1.61%
2010-01-20,6888.45,"6,823.80","6,893.57","6,822.76",75.52M,0.81%
2010-01-21,6864.19,"6,866.00","6,867.72","6,826.78",93.80M,-0.35%
2010-01-24,6657.42,"6,777.80","6,777.80","6,657.42",96.30M,-3.01%
2010-01-26,6569.47,"6,623.34","6,623.60","6,551.00",66.45M,-1.32%
2010-01-27,6586.67,"6,569.92","6,593.33","6,558.31",62.67M,0.26%
2010-01-28,6696.07,"6,636.00","6,698.83","6,636.00",64.58M,1.66%
2010-01-31,6756.14,"6,865.65","6,908.94","6,756.14",86.45M,0.90%
2010-02-01,6801.66,"6,713.90","6,801.66","6,699.54",54.90M,0.67%
2010-02-02,6926.86,"6,845.76","6,927.67","6,845.76",65.54M,1.84%
2010-02-03,7037.97,"6,976.55","7,045.32","6,976.45",83.91M,1.60%
2010-02-04,6979.2,"7,012.50","7,055.09","6,979.20",71.28M,-0.84%
2010-02-07,6827.49,"6,832.66","6,832.66","6,781.78",49.94M,-2.17%
2010-02-08,6998.28,"6,876.35","7,017.44","6,876.35",79.44M,2.50%
2010-02-09,6947.03,"6,977.66","6,977.66","6,932.03",60.53M,-0.73%
2010-02-10,6933.91,"7,009.01","7,031.49","6,933.19",61.89M,-0.19%
2010-02-11,6933.04,"6,927.22","6,946.57","6,904.32",61.68M,-0.01%
2010-02-14,7008.82,"6,958.87","7,025.10","6,958.87",50.44M,1.09%
2010-02-15,7019.47,"7,039.51","7,058.73","7,019.04",61.69M,0.15%
2010-02-16,7062.66,"7,024.40","7,076.60","7,015.54",79.74M,0.62%
2010-02-17,6973.73,"7,037.82","7,058.23","6,973.73",69.62M,-1.26%
2010-02-18,6860.7,"6,953.35","6,953.47","6,860.70",50.52M,-1.62%
2010-02-21,6708.45,"6,831.20","6,831.20","6,708.45",50.86M,-2.22%
2010-02-22,6702.14,"6,712.17","6,716.19","6,671.22",58.38M,-0.09%
2010-02-23,6574.57,"6,708.20","6,724.75","6,574.57",82.16M,-1.90%
2010-02-24,6608.2,"6,568.01","6,608.20","6,543.85",73.88M,0.51%
2010-02-25,6719.35,"6,668.72","6,719.99","6,668.72",72.52M,1.68%
2010-02-28,6632.54,"6,670.71","6,692.81","6,632.54",64.00M,-1.29%
2010-03-01,6650.55,"6,628.21","6,695.58","6,625.78",58.24M,0.27%
2010-03-02,6675.67,"6,659.50","6,675.76","6,631.99",58.95M,0.38%
2010-03-03,6783.38,"6,710.36","6,784.01","6,710.36",84.47M,1.61%
2010-03-04,6783.83,"6,816.68","6,842.57","6,783.83",95.41M,0.01%
2010-03-07,6807.4,"6,779.89","6,807.75","6,767.39",50.95M,0.35%
2010-03-08,6773.93,"6,782.03","6,786.37","6,762.00",55.20M,-0.49%
2010-03-09,6690.91,"6,769.69","6,770.29","6,684.56",59.52M,-1.23%
2010-03-10,6775.8,"6,720.13","6,776.08","6,715.85",49.06M,1.27%
2010-03-11,6769.08,"6,782.33","6,831.27","6,769.08",57.35M,-0.10%
2010-03-14,6606.81,"6,761.50","6,761.50","6,606.81",69.53M,-2.40%
2010-03-15,6353.14,"6,571.51","6,579.17","6,353.14",82.99M,-3.84%
2010-03-16,6465.65,"6,339.73","6,465.74","6,295.60",60.78M,1.77%
